moth_id,date,timestamp,position_x,position_y,length_mm,width_mm,area_mm2,species,source_image
2,2024-12-13,2024-12-13 15:49:04.778902,2259,1801,4.86,12.49,60.71,,15-49-04.jpg
3,2024-12-13,2024-12-13 15:49:04.778902,1944,2688,27.98,13.03,364.58,,15-49-04.jpg
4,2024-12-13,2024-12-13 15:49:04.778902,1676,1270,6.23,13.09,81.58,,15-49-04.jpg
5,2024-12-13,2024-12-13 15:49:04.778902,3746,1406,15.4,7.05,108.65,,15-49-04.jpg
6,2024-12-13,2024-12-13 15:49:04.778902,2380,2451,16.44,9.55,157.02,,15-49-04.jpg
7,2024-12-13,2024-12-13 15:49:04.778902,2784,3961,14.34,5.07,72.66,,15-49-04.jpg
8,2024-12-13,2024-12-13 15:49:04.778902,2122,3595,2.77,8.01,22.23,,15-49-04.jpg
9,2024-12-13,2024-12-13 15:49:04.778902,3345,1023,16.13,7.53,121.43,,15-49-04.jpg
10,2024-12-13,2024-12-13 15:49:04.778902,1744,3971,30.93,11.65,360.47,,15-49-04.jpg
11,2024-12-13,2024-12-13 15:49:04.778902,3569,3481,4.28,8.35,35.73,,15-49-04.jpg
12,2024-12-13,2024-12-13 15:49:04.778902,3134,3701,11.29,7.29,82.3,,15-49-04.jpg
13,2024-12-13,2024-12-13 15:49:04.778902,1217,2644,11.28,4.25,47.94,,15-49-04.jpg
14,2024-12-13,2024-12-13 15:49:04.778902,1558,3695,18.98,34.18,648.81,,15-49-04.jpg
15,2024-12-13,2024-12-13 15:49:04.778902,1168,3688,42.09,14.5,610.4,unknown,15-49-04.jpg
16,2024-12-13,2024-12-13 15:49:04.778902,3581,1373,10.88,24.68,268.54,,15-49-04.jpg
17,2024-12-13,2024-12-13 15:49:04.778902,2618,3232,14.4,4.86,69.97,,15-49-04.jpg
18,2024-12-13,2024-12-13 15:49:04.778902,1957,3417,20.0,7.59,151.72,,15-49-04.jpg
19,2024-12-13,2024-12-13 15:49:04.778902,1803,1739,51.78,30.59,1584.07,unknown,15-49-04.jpg
20,2024-12-13,2024-12-13 15:49:04.778902,3573,3107,7.49,2.7,20.22,,15-49-04.jpg
21,2024-12-13,2024-12-13 15:49:04.778902,2054,2417,30.48,11.07,337.52,,15-49-04.jpg
22,2024-12-13,2024-12-13 15:49:04.778902,2629,2824,4.32,11.8,51.01,,15-49-04.jpg
23,2024-12-13,2024-12-13 15:49:04.778902,1822,3159,28.46,13.77,391.84,,15-49-04.jpg
24,2024-12-13,2024-12-13 15:49:04.778902,3392,2821,7.95,3.05,24.26,,15-49-04.jpg
